modality	feature_id	marker	shap_value	pvalue	fdr	auc	recent_3y_count	pmids	dml_effect_theta	ci95_low	ci95_high	or_adjusted	e_value	pred_component	stat_component	auc_component	lit_component	causal_component	effect_component	total_score	rank	abs_dml	strict_pass	strict_threshold_abs_dml	strict_threshold_e_value
protein	P00019	G019	0.8549575805664062	0.0141483004147768	0.0141483004147768	0.0925925925925925	0							1.0	1.0	0.814814814814815	1.0	1.0	0.925925925925926	0.9851851851851854	1	0.0	False	0.08	2.0
protein	P00026	G026	0.7047383785247803	0.0723865766535204	0.0723865766535204	0.2407407407407407	0							0.8242963095992362	0.6158660959740005	0.5185185185185186	1.0	1.0	0.5769270649918078	0.8363187523180178	2	0.0	False	0.08	2.0
protein	P00030	G030	0.0	0.0262865722781875	0.0262865722781875	0.8518518518518519	0							0.0	0.8542310816962415	0.7037037037037037	1.0	1.0	0.7940201304992265	0.5088040260998453	3	0.0	False	0.08	2.0
protein	P00046	G046	0.1458026766777038	0.2542324416137024	0.2542324416137024	0.2962962962962963	0							0.1705379073674159	0.32025717223223304	0.40740740740740744	1.0	1.0	0.3551172663023028	0.4977655115757977	4	0.0	False	0.08	2.0
protein	P00044	G044	0.0	0.0791219693108151	0.0791219693108151	0.7777777777777778	0							0.0	0.5949302186143937	0.5555555555555556	1.0	1.0	0.5791803533908584	0.4658360706781717	5	0.0	False	0.08	2.0
protein	P00012	G012	0.1146430596709251	0.4004349193031824	0.4004349193031824	0.3703703703703704	0							0.13409210266897043	0.2133531721138387	0.2592592592592592	1.0	1.0	0.2317156069720069	0.4566845675954381	6	0.0	False	0.08	2.0
protein	P00010	G010	0.0	0.1160054233695532	0.1160054233695532	0.7407407407407407	0							0.0	0.5048879080029304	0.4814814814814814	1.0	1.0	0.4955253373943508	0.44910506747887013	7	0.0	False	0.08	2.0
protein	P00011	G011	0.0	0.1368664582284215	0.1368664582284215	0.2407407407407407	0							0.0	0.46597421207858714	0.5185185185185186	1.0	1.0	0.4869919346545597	0.44739838693091194	8	0.0	False	0.08	2.0
protein	P00037	G037	0.0	0.1142322073019414	0.1142322073019414	0.7222222222222222	0							0.0	0.5085126155422794	0.4444444444444444	1.0	1.0	0.48288534710314546	0.44657706942062914	9	0.0	False	0.08	2.0
protein	P00016	G016	0.0	0.1179525381663642	0.1179525381663642	0.7037037037037037	0							0.0	0.5009710052497054	0.40740740740740744	1.0	1.0	0.4635455661127862	0.44270911322255724	10	0.0	False	0.08	2.0
